Cusip,Isin,Cins,Issuer_Code,Issue_Date,Ticker,Currency,Country,Security_Desc,Security_Type
11111111,US1111111111,,ISS100,2020-01-15,AAA,USD,US,Corporate bond A,Corporate
22222222,US2222222222,,ISS101,12/31/2019,BBB,USD,US,Treasury B,Treasury
33333333,US3333333333,,ISS102,2020-02-01,CCC,EUR,DE,Bond C,Corporate
44444444,US4444444444,,ISS103,2019-11-30,DDD,GBP,GB,Note D,Note
55555555,US5555555555,,ISS104,01/15/2020,EEE,USD,US,Corporate E,Corporate
11111111,US1111111111,,ISS100,2020-01-15,AAA,USD,US,Corporate bond A,Corporate
66666666,US6666666666,,ISS105,2020-03-10,FFF,USD,US,Corporate F,Corporate
77777777,US7777777777,,ISS106,2020-04-20,GGG,EUR,FR,Corporate G,Corporate
88888888,US8888888888,,ISS107,2020-05-25,HHH,USD,US,Treasury H,Treasury
99999999,US9999999999,,ISS108,2020-06-30,III,USD,US,Corporate I,Corporate
